频次|作者|作品|内容
11|东野圭吾|《白夜行》|曾经拥有的东西被夺走，并不代表就会回到原来没有那种东西的时候。
10|菲茨杰拉德|《了不起的盖茨比》|每当你想批评别人的时候，要记住，这世上并不是所有人，都有你拥有的那些优势。
7|弗雷德里克·巴可曼|《一个叫欧维的男人决定去死》|生活变成现在这样情非得已。
4|弗雷德里克·巴可曼|《一个叫欧维的男人决定去死》|她把他仅有的只言片语都带走了。
5|弗雷德里克·巴可曼|《一个叫欧维的男人决定去死》|失去某人以后总是会有一些奇怪的细节惹人怀念。都是极小的事情。笑容、她睡眠时翻身的样子。为她粉刷房间。
12|加夫列尔·加西亚·马尔克斯|《霍乱时期的爱情》|当年就因为我同这个可怜的男人的关系，人们糟践了我的生活，破坏了我的幸福，因为我们太年轻了。而现在，人们又想把这幕剧重演，因为我们太老了。
12|江南|《龙族V》|努力虽然感人，终究被感动的只是自己。
9|九把刀|《等一个人咖啡》|不用对不起，有些事，一开始就已经决定好了，努力是没有用的。
8|罗翔|《圆圈正义》|如若命运之手将我们推向特殊的时刻，愿我们能有我们期待中那般勇敢。
6|罗翔|《圆圈正义》|即便你一贫如洗，你依然拥有一些基本权利且是任何人无法干涉的。
8|罗翔|《圆圈正义》|人之所以恐惧，是因为我们对未知的害怕。
5|罗翔|《圆圈正义》|你也许无法像揭开皇帝新装的少年那么勇敢，但你至少可以在心里为他点赞喝彩。
10|罗翔|《圆圈正义》|往往是那些善良的愿望，把人类带入了人间地狱。
9|落落|《不朽·后记》|有些事我已经分不清究竟是真的发生过还是幻觉。回忆在时间的影响下变得不可信赖。
17|落落|《不朽·直到我们把死亡分开》|我唯一会觉得难过的，是自己还不足够强，不足够强到让你们在支持我时无所畏惧。
4|落落|《如果声音不记得》|她的弱小就在于需要什么确凿的证据来推动自己前进。
12|落落|《如果声音不记得》|你能不能醒一醒。夏天的花还没有谢。你能和我跳舞吗？请和我跳舞吧。
4|落落|《剩者为王》|“我儿子最擅长琴棋书画”“我女儿最擅长吃喝嫖赌”
12|落落|《剩者为王》|既然我没有在二十岁前被车撞死而永葆青春，那么年龄增长也是必然的事。
7|落落|《是梦境与我为邻》|他出现于我所有记得住的过去里。淡淡存在。轻轻叫嚣。
4|莫言|《蛙》|他退后一步，说：我现在如梦方醒。所谓爱情，其实就是一场大病。我的病就要好了。
11|乔治·奥维尔|《1984》|老大哥在看着你。
7|三岛由纪夫|《金阁寺》|在很久之前，我曾在某处见过无比壮丽的晚霞。从此，见到的所有晚霞，都多少有些逊色。
4|三岛由纪夫|《金阁寺》|花期一过，樱花之于这片土地，就像逝去的美人的名字，偶尔被提起。
9|文在寅|《命运》|愿为江水，与君重逢。
8|文在寅|《命运》|她好像问过我：“就算是再正确的事，为什么非得是你去做呢？”
8|张爱玲|《小团圆》|雨声潺潺，像住在溪边，宁愿天天下雨，以为你是因为下雨不来。
6|紫式部|《源氏物语》|山樱若是多情种，今岁应开墨色花。
