频次|作者|作品|内容
5|高蟾|《金陵晚望》|世间无限丹青手，一片伤心画不成。
4|韩翃|《章台柳·寄柳氏》|章台柳，章台柳，昔日青青今在否？纵使长条似旧垂，也应攀折他人手。
3|汉乐府|《孔雀东南飞》|君既若见录，不久望君来。
3|汉乐府|《孔雀东南飞》|卿当日胜贵，吾独向黄泉！
3|李煜|《浪淘沙令》|梦里不知身是客，一晌贪欢。
3|李煜|《临江仙》|炉香闲袅凤凰儿，空持罗带，回首恨依依。
4|李煜|《破阵子》|最是仓皇辞庙日，教坊犹奏别离歌，垂泪对宫娥。
2|李煜|《望江南》|多少恨，昨夜梦魂中。还似旧时游上苑，车如流水马如龙。花月正春风。
3|李煜|《虞美人》|雕栏玉砌应犹在，只是朱颜改。
3|刘过|《唐多令》|欲买桂花同载酒，终不似，少年游。
4|柳永|《少年游》|狎兴生疏，酒徒萧索，不似少年时。
8|柳永|《雨霖铃》|执手相看泪眼，竟无语凝噎。
4|柳永|《昼夜乐》|一场寂寞凭谁诉。算前言，总轻负。
3|纳兰性德|《浣溪沙》|被酒莫惊春睡重，赌书消得泼茶香，当时只道是寻常。
3|纳兰性德|《梦江南》|急雪乍翻香阁絮，轻风吹到胆瓶梅，心字已成灰。
2|纳兰性德|《木兰花·拟古决绝词柬友》|等闲变却故人心，却道故人心易变。
4|苏轼|《和子由渑池怀旧》|人生到处知何似，应似飞鸿踏雪泥。泥上偶然留指爪，鸿飞那复计东西。
3|苏轼|《西江月》|世事一场大梦，人生几度秋凉？
4|唐寅|《一剪梅》|晓看天色暮看云，行也思君，坐也思君。
5|晏几道|《临江仙》|当时明月在，曾照彩云归。
5|晏几道|《临江仙》|落花人独立，微雨燕双飞。
4|晏几道|《鹧鸪天》|今宵剩把银釭照，犹恐相逢是梦中。
5|张若虚|《春江花月夜》|江畔何人初见月？江月何年初照人？
